Id,MSSubClass,LotArea,OverallCond,YearBuilt,TotalBsmtSF,SalePrice,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE
50,20,7742,7,1966,955.0,127000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,60,13869,6,1997,794.0,177000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,50,6240,6,1934,816.0,114500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,90,8472,5,1963,816.0,110000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,20,50271,5,1981,1842.0,385000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55,80,7134,5,1955,384.0,130000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,20,10175,5,1964,1425.0,180500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,160,2645,5,1999,970.0,172500.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
58,60,11645,5,2004,860.0,196500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,60,13682,5,2006,1410.0,438780.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,20,7200,7,1972,780.0,124900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
61,20,13072,5,2004,1158.0,158000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,75,7200,7,1920,530.0,101000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,120,6442,5,2006,1370.0,202500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
64,70,10300,6,1921,576.0,140000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65,60,9375,5,1997,1057.0,219500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,60,9591,5,2004,1143.0,317000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,20,19900,5,1970,1947.0,180000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,20,10665,5,2003,1453.0,226000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69,30,4608,6,1945,747.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,50,15593,4,1953,1304.0,225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,20,13651,6,1973,2223.0,244000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
72,20,7599,6,1982,845.0,129500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,60,10141,5,1998,832.0,185000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,20,10200,7,1954,1086.0,144900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75,50,5790,6,1915,840.0,107400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,180,1596,5,1973,462.0,91000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
77,20,8475,7,1956,952.0,135750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78,50,8635,5,1948,672.0,127000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
79,90,10778,5,1968,1768.0,136500.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
80,50,10440,6,1910,440.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,60,13000,6,1968,896.0,193500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,120,4500,5,1998,1237.0,153500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
83,20,10206,5,2007,1563.0,245000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
84,20,8892,5,1960,1065.0,126500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,80,8530,5,1995,384.0,168500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
86,60,16059,5,1991,1288.0,260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,60,11911,5,2005,684.0,174000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88,160,3951,5,2009,612.0,164500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,50,8470,2,1915,1013.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,20,8070,5,1994,990.0,123600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91,20,7200,5,1950,0.0,109900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92,20,8500,3,1961,1235.0,98600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
93,30,13360,7,1921,876.0,163500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
94,190,7200,6,1910,1214.0,133900.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,60,9337,5,1997,824.0,204750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,60,9765,8,1993,680.0,185000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,20,10264,5,1999,1588.0,214000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
98,20,10921,5,1965,960.0,94750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99,30,10625,5,1920,458.0,83000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,20,9320,5,1959,950.0,128950.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
101,20,10603,7,1977,1610.0,205000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102,60,9206,5,1985,741.0,178000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
103,90,7018,5,1979,0.0,118964.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
104,20,10402,5,2009,1226.0,198900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,50,7758,4,1931,1040.0,169500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,60,9375,5,2003,1053.0,250000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
107,30,10800,7,1885,641.0,100000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
108,20,6000,5,1948,789.0,115000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
109,50,8500,7,1919,793.0,115000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,20,11751,6,1977,1844.0,190000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111,50,9525,4,1954,994.0,136900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112,80,7750,5,2000,384.0,180000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
113,60,9965,5,2007,1264.0,383970.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
114,20,21000,5,1953,1809.0,217000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,70,7259,8,1945,1028.0,259500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
116,160,3230,5,1999,729.0,176000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,20,11616,5,1962,1092.0,139000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,20,8536,5,2006,1125.0,155000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,60,12376,5,1990,1673.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,60,8461,5,2005,728.0,163990.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121,80,21453,5,1969,938.0,180000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,50,6060,5,1939,732.0,100000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
123,20,9464,7,1958,1080.0,136000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,120,7892,5,1993,1199.0,153900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
125,20,17043,5,1979,1362.0,181000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,190,6780,8,1935,520.0,84500.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
127,120,4928,5,1976,1078.0,128000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
128,45,4388,7,1930,672.0,87000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
129,60,7590,5,1966,660.0,155000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130,20,8973,7,1958,1008.0,150000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,60,14200,6,1966,924.0,226000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,60,12224,5,2000,992.0,244000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,20,7388,6,1959,1063.0,150750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,20,6853,5,2001,1267.0,220000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135,20,10335,6,1968,1461.0,180000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
136,20,10400,6,1970,1304.0,174000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
137,20,10355,5,1967,1214.0,143000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,90,11070,5,1988,1907.0,171000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
139,60,9066,5,1999,1004.0,230000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
140,60,15426,5,1997,928.0,231500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
141,20,10500,5,1971,864.0,115000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142,20,11645,5,2005,1734.0,260000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
143,50,8520,4,1952,910.0,166000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,20,10335,5,1999,1490.0,204000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
145,90,9100,5,1963,1728.0,125000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
146,160,2522,5,2004,970.0,130000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
147,30,6120,7,1931,715.0,105000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,60,9505,5,2001,884.0,222500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,20,7500,5,2004,1080.0,141000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
150,50,6240,4,1936,896.0,115000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
151,20,10356,6,1975,969.0,122000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,20,13891,5,2007,1710.0,372402.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
153,60,14803,5,1971,825.0,190000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,20,13500,7,1960,1602.0,235000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
155,30,11340,5,1923,1200.0,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,50,9600,5,1924,572.0,79000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,20,7200,7,1950,0.0,109500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
158,60,12003,5,2009,774.0,269500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,60,12552,5,2004,991.0,254900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,60,19378,5,2005,1392.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,20,11120,6,1984,1232.0,162500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,60,13688,5,2003,1572.0,412500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
163,20,12182,5,2005,1541.0,220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,45,5500,6,1956,882.0,103200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
165,40,5400,7,1926,1149.0,152000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,190,10106,7,1940,644.0,127500.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
167,20,10708,5,1955,1617.0,190000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
168,60,10562,5,2007,1582.0,325624.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
169,60,8244,5,2004,840.0,183500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
170,20,16669,6,1981,1686.0,228000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,50,12358,6,1941,720.0,128500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
172,20,31770,5,1960,1080.0,215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,160,5306,7,1987,1064.0,239000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
174,20,10197,5,1961,1362.0,163000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
175,20,12416,5,1986,1606.0,184000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
176,20,12615,7,1950,1202.0,243000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,60,10029,5,1988,1151.0,211000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,50,13650,5,1958,1052.0,172500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
179,20,17423,5,2008,2216.0,501837.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,30,8520,6,1923,968.0,100000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
181,160,2117,5,2000,756.0,177000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
182,70,7588,6,1920,793.0,200100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
183,20,9060,6,1957,0.0,120000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
184,50,11426,5,2003,1362.0,200000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
185,50,7438,8,1908,504.0,127000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
186,75,22950,9,1892,1107.0,475000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
187,80,9947,5,1990,1188.0,173000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,50,10410,7,1916,660.0,135000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
189,90,7018,5,1979,1086.0,153337.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
190,120,4923,5,2001,1593.0,286000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
191,70,10570,8,1932,853.0,315000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
192,60,7472,9,1972,725.0,184000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,20,9017,5,1999,1431.0,192000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194,160,2522,5,2004,970.0,130000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
195,20,7180,7,1972,864.0,127000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
196,160,2280,6,1976,855.0,148500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
197,20,9416,5,2007,1726.0,311872.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
198,75,25419,4,1918,1360.0,235000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,75,5520,6,1912,755.0,104000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,20,9591,5,2004,1713.0,274900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
201,20,8546,5,2003,1121.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,20,10125,6,1977,1196.0,171500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
203,50,7000,6,1924,617.0,112000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,120,4438,5,2004,848.0,149000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
205,50,3500,7,1947,720.0,110000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
206,20,11851,5,1990,1424.0,180500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,20,13673,5,1962,1140.0,143900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,20,12493,5,1960,1100.0,141000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
209,60,14364,5,1988,1157.0,277000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
210,20,8250,7,1964,1092.0,145000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
211,30,5604,6,1925,864.0,98000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
212,20,10420,5,2009,1212.0,186000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,60,8640,5,2009,900.0,252678.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
214,20,13568,5,1995,990.0,156000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,60,10900,7,1977,689.0,161750.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
216,20,10011,6,1957,1070.0,134450.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
217,20,8450,5,2004,1436.0,210000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
218,70,9906,4,1925,686.0,107000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
219,50,15660,9,1939,798.0,311500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,120,3010,5,2005,1248.0,167240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
221,20,8990,5,2006,1498.0,204900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
222,60,8068,5,2002,1010.0,200000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
223,60,11475,6,1975,713.0,179900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
224,20,10500,6,1971,864.0,97000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
225,20,13472,5,2003,2392.0,386250.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
226,160,1680,5,1971,630.0,112000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
227,60,9950,5,1995,1203.0,290000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
228,160,1869,6,1970,483.0,106000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
229,20,8521,5,1967,912.0,125000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
230,120,3182,5,2005,1373.0,192500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
231,20,8760,6,1959,1194.0,148000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
232,60,15138,5,1995,1462.0,403000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
233,160,1680,5,1972,483.0,94500.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
234,20,10650,6,1976,894.0,128200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,60,7851,5,2002,860.0,216500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
236,160,1680,3,1971,483.0,89500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
237,20,8773,5,2004,1414.0,185500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
238,60,9453,7,1993,996.0,194500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,20,12030,5,2007,1694.0,318000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
240,50,8741,4,1945,735.0,113000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
241,20,9000,5,2008,1566.0,262500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
242,30,3880,9,1945,686.0,110500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
243,50,5000,4,1900,540.0,79000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,160,10762,6,1980,626.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
245,60,8880,5,1994,948.0,205000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
246,20,10400,5,1988,1845.0,241500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
247,190,9142,8,1910,1020.0,137000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
248,20,11310,5,1954,1367.0,140000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
249,60,11317,5,2003,840.0,180000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
250,50,159000,7,1958,1444.0,277000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,30,5350,2,1940,728.0,76500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
252,120,4750,5,2006,1573.0,235000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
253,60,8366,5,2004,798.0,173000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
254,80,9350,7,1964,1302.0,158000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
255,20,8400,6,1957,1314.0,145000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
256,60,8738,5,1999,975.0,230000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
